TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Website Producer,Family-owned newspaper,"32,000",Cis white female,1,Pennsylvania,,
Staff Writer,Family-owned newspaper,"33,150",White cis woman,2,California,"Reporting news, writing features, copy editing",
Assistant editor,Farm Bureau,"$55,000 ",Female/White,6,"Sacramento, CA","Editing, writing","Managing editor, $42,500"
Senior Reporter,fashion site,"$105,000 ",white cis woman,10,NYC ,"write news, reported features. ",
Editorial Assistant,Fast Company,"$35,000 ",Cis white female,"0-1, entry level",NYC,"writing, transcribing, some editing, fact checking",
Reporter,Fast Company,65000,Cis white male,8,"New York, NY",Writing and editing content,
Staff editor,Fast Company,"$77,000 ",Cis white woman,4,NYC,deputy editor of a section,
Reporter,Fayetteville Observer,"$41,000 ",Female / White,9,"Fayetteville, NC",Reporter,"36,000 reporter in Pittsburgh, 24,000 reporter in York, PA, $11/hour reporter in Lorain, OH"
Staff Writer/Associate Editor,FCW/1105 Media Inc.,"$48,000 ",GNC white AFAB ,1,DC,Writing/Reporting/Editing,
Journalist,Financial media company ,"$21,400 ",Cis white female,5,"Madrid, Spain",,"$46,000 Banking reporter, S&P Global, Washington D.C. "
Reporter,Financial Times,"$72,500 ",Female,8,"New York, NY","Report, interview, write, research corporate governance full-length features weekly ","Associate editor, $50,000"
Editor / Animator,Finishing House,"$105,000 ",Cis White Male,8,Washington DC,"Editor, Motion GFX, Graphic Design, Finishing",
Staff reporter,Forbes,"$50,500 ",White ciswoman,4,San Francisco,"Reporting features, writing online stories, research for net worth lists",Hired for the role at $40K
Content Partnerships Coordinator,"Forbes Media, LLC.","60,000",Female/African American,2,New York City,,
Marketing Coordinator,Foreign Affairs,"49,000",Cis-Female-Caucasian,3,New York City,Create and execute customer subscription campaigns,Customer Experience Specialist at 65K/yr
Reporter/Copy editor,Forum Communications,$15.92 ,WF,20,Minnesota,"Writing, photography","Reporter, Copy desker"
Producer,Fox News,68000,Male,7,New York,,
Producer,Fox News,63000,Female/white,3,,,
Senior Editor,Fox Sports,"$55,000 ",White Male,12,Australia,"Online/Offline Editing, feature editing, line producing, staff training",
Journalist,France 24,"34,000 euros/year","Female, caucasian",25,Paris,,
Assistant Editor,Freeform,$2100/week,Female,3,Los Angeles,"Organize and group dailies, import and organize music and Sfx, exporting cuts, creating continuities and music lists, tracking ADR, prepping and exporting turnovers","Editor - $2250/week, Assistant Editor (reality TV) - $1200/week, Post PA - $800/week"
Community reporter,Freelance,"$19,000/year (but wildly variable)",Female/white,29,Michigan,"Reporting, writing, photography, cross-platform media promotion","Editor of a weekly, reporter, layout/copy editor"
Video editor and motion graphics,freelance,"165,000",cis white female,20,"Washington, DC","Working on site or remote, I edit, do motion graphics and color grade. Often act as a producer editor. Political spots, non-profits, NGOs, scientific content. Almost all short form.","Starting out as a freelancer 10 years ago, raked in about $110K a year. Before then salaried position was $45K (barf). All in the DC area."
Freelance Reporter,Freelance,"$60,000 (3/4 time)","Cis, het, white female",17,CO,"self-employed reporter, writer, and editor; research, report and write news and feature articles for mainstream news outlets and niche publications; business manager and keeper of all domestic knowledge, too","Always self-employed; salary has ranged from $72,000 (full-time) to $40,000 (half-time)"
Writer,Freelance,"66,000",Cis white female,15,Oregon ,Writing for magazines and online + public speaking,"Average around 5,000 a month for past five years"
Writer,Freelance,"$125,000 ",Male/White,18,Colorado,"Source leads, edit photos and video, write and proof copy.",Always freelance
Writer and editor,Freelance,"42,000",Cis/het/white female,20,Midwest,Writing feature articles for national media outlets,Over 20 years my FT freelance income has ranged from <30K to (rarely) more than $50K. It has not been a steady upward trend.
Copy Editor,Freelance,"$20,000 ",CIS female/white,40,Florida,"copywriting, ghostwriting, blogging, social media updates, rewriting press releases","Adjunct professor $25k/yr; Proofreader, $10k/yr (1980s)"
Reporter,Freelance,"24,000",cis white female,4,International,Reporting/writing on conflict and human rights for major international publications,
Reporter,Freelance,"100,000",female/white,8,nyc,"pitching, reporting, writing, editing, podcasting, photographing - and negotiating ",
Writer/Editor,Freelance,"$40,000 ",Male/White,19,New York,"Feature writing, reporting, editing for various outlets","Several stints as Editor in Chief, Managing Editor, etc. for different outlets. Top annual salary around $60K."
Writer• Editor / PR•Marketing,Freelance,$65-$125 / hour,"Gay male, longtime out activist",40,New England,"Write and edit internal and external public relations, marketing, development, and general communications for health care, real estate, non-profit and media clients. Occasional mainstream features writer. ","Co-publisher, nonprofit executive"
Assistant Video Editor,Freelance,400-500/day,"Male, white Jewish immigrant",4,San Francisco Bay Area,"Project prep, media management, pull selects, create rough cuts, music/archival research, captions, prep for color & mix, conform, visual cleanup, tech support, sometimes see edits from start to finish",
Healthcare Journalist,Freelance,"$120,000-$140,000 (varies from year to year)",Cis White Male,30,Southern California,Editor/Reporter for various publications,
Reporter,Freelance,80K,male,3,"Oakland, CA","Reporting, breaking news and feature length. Editing. Newsletter production. Web production.",
Freelance Writer & Editor,Freelance ,135000,Cis Asian Woman,19,New York,,Senior Editor 145000
Senior Social Strategist,Fullscreen,85000,cis white male,4,Los Angeles,new business development and media strategy,
Associate Director,Fullscreen,75000,Cis White Female,6,Los Angeles,"Write strategy, manage a team, works remotely",Senior Manager 65K
Associate Editor,Future,"58,500",Nonbinary/White,5,New York City,"Editing, writing, e-commerce, social media",
Contributor / writer / Photographer,Future ,£200 per submission in photos,Cis white male.,2,UK,Covering events / feature writing,None in relevant media background.
Social Media Editor,Future Media,"75,000",Male / Cis / Black ,12,"New York, NY","Advise the editorial teams of 4 online publications/brands on social media best practices, strategies; Track/report growth on platforms for each brand; Attend events with edit teams to help build out coverage on platforms; Cover events on Twitter during live presentations; Advise video team on projects for YouTube and Instagram","Factchecker, $28/hour;  Web Producer, $48K/year;  Staff Writer, 50K;  Senior Web Producer, 55K;  Production Director (editorial coordinator), 65K"
Staff Editor,Future plc company,"$57,500 ",cis white woman,8,Los Angeles,"Copyediting all articles and making sure they adhere to style and formatting guidelines, running the small team of editors we have, working to fix our editing process structurally, helping with coverage, writing where needed",
Staff reporter,Futurism,"$55,000 + likely $5,000 bonus",White cis/het male,1.5,NYC,Mixed bag of news blogging and reporting,"Brought on at $150/day for two stories, then hired at $45k and given two $5k raises over time to reach current salary. ""experience"" column is for this specific job -- previous experience includes freelance work and hourly media internships/contract gigs."
Associate social media editor,Futurism,"$50,000 ",cis white female,1,New York,"Managing social media accounts with millions of followers, distributing flow of daily articles and design content across platforms, copy editing blogs, optimizing seo and meta data, compiling and managing daily newsletter, assisting publisher and marketing department with sponsored campaigns, moderating audience across platforms, increasing audience engagement, data analytics & analysis, pitching & writing blogs, designing social visual assets, among other tasks.","~$10-15/hr at four to five other paid media internships in magazines, marketing, and book publishing."
Senior Editor,G/O Media,"$80,000 ",,10+,NY-HQ,#NAME?,
Staff writer,G/O Media,"65,000",cis white female,10,NY,"reporting, researching, writing",
social media editor,g/o media,"64,000",cis white woman,3,"New York, NY",manages all social for a large site multiple distinct verticals,
Editor-in-chief,G/O Media,"$150,000 ",Cis het white male,14,New York,,
Staff Writer,G/O Media,"68,000",white male,4,NYC,Daily blogs plus reported features,
"Editor, Staff Writer",G/O Media,"68,000",Cis-bi white female,7,NYC,,"News writer, producer"
Staff Writer,G/O Media,"$85,000 ",cis-het white male,13,NYC,"Reporting, writing, video and podcast appearances, some video writing","editor, writer, marketer, video producer; salaries ranging 30k-100k"
Social Media Editor,G/O Media,"$64,000 ","Cis-male, white",4,NYC,"Manage posting across multiple social channels, newsletter organization","Staff writer, 50k"
Reporter,G/O Media,"77,000",White cis woman,8,NYC,,
senior reporter,G/O Media,"82,000",cis white woman,5,New York,write 5 articles a week/bimonthly reported features,
Senior Reporter,G/O Media,"$72,000 ",Cis male/ White,6,New York,,
Managing Editor,G/O Media,"$84,000 ",cis het white female,10,NYC,Editing and assigning stories; managing freelance budget; assigning and editing freelance; managing editorial calendar,Managing Editor; Senior Editor; Associate Editor; Assistant Editor
Staff writer,G/O Media,"65,000",Cis-het black woman,6,New York City,"Reporting, writing, researching, blogging",Permalancer at teen girl/women’s interest sites making $45-50 per article
Staff Writer,G/O Media,"$58,000 ",cis bi black woman,3,NYC,"2-3 daily blogs/news post, plus longer reported features",
Staff writer,G/O Media,"65,000 (+3% annual raise per union contract)",Cis-het black woman,6,New York City,"Reporting, writing, researching, blogging",Permalancer at teen girl/women’s interest sites making $45-50 per article
Deputy Editor,G/O Media,"95,000",Cishet White Male,10,New York,"Basically keeping everything running behind the scenes, editing both features and short posts, working with freelancers, maintaining budgets, coordinating video",
Staff writer,G/O Media,"$68,000 ",cis-bi latina,5,New York,"1-2 daily blogs, with weekly reported pieces and a couple proper features a month","reporter, associate editor"
Staff Reporter,G/O Media,"$61,800 ",Bi Male / White,7,NYC/DC,"Staff reporter, ran one site on nights/weekends for two years",$52000 at Mic
President and CEO,G/O Media (The Onion),"$500,000 ",Cis white male,14,Chicago,"Strategy and day-to-day operations of The Onion; its sister publication, The A.V. Club; and internet parody site, ClickHole.",Controller; COO; CFO
President and CEO,G/O Media (The Onion),"$500,000 ",Cis white male,14,Chicago,"Strategy and day-to-day operations of The Onion; its sister publication, The A.V. Club; and internet parody site, ClickHole.",Controller; COO; CFO
Reporter,Galveston County Daily News/Southern Newspapers Inc,"31,000",Male/White,8,Galveston,"Writing, interviewing, planning for stories, responsible for writing at least one but typically 2-4 articles and briefs every day.",
Data reporter,Gannett,"$49,000 ","cis white female
",2 years,non-metro area,"graphics, data analysis, web development",
Reporter,Gannett,"39,500","cis female, mixed race",2.5,Arizona,Daily beat reporting,
Reporter,Gannett,63750,cis female/black,8,Tennessee,"reporting and writing a range of dailies and longer enterprise stories, occasional photography","Senior writer -- 52K, staff writer -- 47k, reporter -- 42K, reporter -- 29K"
Digital Producer,Gannett,"$45,000 ",CIS Hispanic woman ,4,Tennessee ,,"$36,000 / Digital producer at Austin, Texas, TV station / annual 3% raise  "
Reporter,Gannett,"$45,000 ",cis white female,7,Louisville,Enterprise/daily reporting,
Print planning producer,Gannett,"$40,000 ",Cis-het white woman,2.5,Kentucky ,"Plan daily newspaper, copy edit, check headlines, some web producing","Part-time at metro daily in Florida while in school ($14/hour), intern at LA Times ($15/hour)"
visual producer,gannett,"35,000",WOC,2,des moines ia,"filming, photographing, video editing, photo editing, video producing, interviewing, reporting ","interning, freelancing"
Wire/copy editor,Gannett,50000,Male,5,Louisville,"Copy edit wire stories, write headline and cutlines",
National Reporter,Gannett,65000,"Woman, white cis, het",10,Remote from mid-size city,Produce data-driven investigations with impact ,"Various local reporting roles $12,000-36,000; statehouse reporter $52,000; projects reporter $40,000"
Reporter,Gannett,"$42,000 ",cisgay white male,15,Midwest,"I am the closest thing to an investigative reporter there is in this mid-sized city. Also business, culture, breaking, some local. Some video, TV appearances. ","FT internships $300/week
National magazine staff writer/editor $26,200
Regional magazine editor in chief $24,000 progressively increased to $42,000
Freelance journalist / Great Recession odd jobs $25,000
Newspaper reporter $33,000 promoted to $42,000
After taxes and student loans, I take home about $18,000"
Reporter,Gannett,"$44,000 ",Cis white female,9,small metro,"report, write, occasional photo/video",
Staff Photographer/Videographer,Gannett,"$18.27/hr/ ~ $38,000/year",Asian male,5,South Carolina,"Covering daily assignments, high school/college sports","$35,000/year"
Reporter,Gannett,"$36,400 ",Cis white female,4,South Carolina ,Daily beat reporting ,
Photographer,Gannett,"36,500",,9,"Phoenix, AZ","Shoot, edit photos and video.",
Reporter,Gannett,"$39,000 ",cis white woman,3,Kentucky,"Beat reporter for a local newspaper, covering local government","Hired as breaking news reporter at $35,000."
Video Producer/Editor,Gannett,"80,000",White Female,5,NYC,"Produce, Shoot and Edit Videos",
Reporter,Gannett,"$47,000 ",cis white male,8,NJ,Beat includes a few statewide issues and a few local municipalities,"Started at $42,000 in 2015 at Gannett. $33,000-$36,000 at local Advance publication "
Reporter,Gannett,"$45,000 ",Cis white female,3,Tennessee,Beat reporter; file 25-30 stories monthly,
Reporter,Gannett,"$40,800 ",cis white male,3,LA metro area,"Write articles for print and online, pitch story ideas, occasionally shoot photos/video to accompany pieces.",Worked part-time on weekends for $15/hr
Producer,Gannett,"$38,000 ",cis black female,10,Phoenix,"Put together and run monthly community events, reporting, write features, columns, marketing, community relations ","Freelance reporter 4 years, staff reporter 5 years. Starting on staff salary $32k/yr in Atlanta, now at $38k/yr in Phoenix."
Reporter,Gannett,"$38,500 ",Female,5,SC,Beat reporting,"$36,000 reporter, before that $28,000 reporter"
Photojournalist,Gannett,"$68,000 ",Hispanic,41,New York,Editorial Stills and Video photography,
Sports reporter,Gannett,"$35,000 ",Male / White,5,U.S. Gulf Coast,"Content Production (articles, photos, videos), Optimization (SEO, Assets, Crops, etc.), Editing, Social Media Management (5 corporate accounts, 1 personal), Section Budgeting, Community Outreach Projects ","$33,500 "
Reporter,Gannett,"$38,500 ",White female,2,Gulf Coast FL,Beat reporter,Hired as intern for $12/hr
Reporter,Gannett,"$36,000 ",Cis white female,2.5,Michigan,"Breaking news, courts, criminal justice, social media, homepage management, push alerts, monitor Facebook comments/messages",$33K as a reporter in Illinois
Photographer/Videographer,Gannett,"$21.37/Hr  $44,449.60/Yr",Male/White,17,New York,"Photograph assignments, edit & publish photos/galleries, shoot, edit & publish videos. ",
Digital Producer,Gannett,"35,000",Female/ Caucasian,1,NJ,,
"Page editor, ""Finisher""",Gannett,16.40/hr,White Cis woman,10,Des Moines,"Light copy-editing, proofreading, story trimming for 2-4 papers/night.",I was making $12-something until a teammate mentioned starting at $15 and I threw a fit. 
Reporter,Gannett,"$18/hour or $38,000",Cis Latina woman,2,Texas,Local education reporting,"Worked for two years as a copy editor/writer at a small daily newspaper (where I made less than $12 an hour after taxes), earned a master's degree in journalism, worked as a fellow for a statewide political magazine ($5,000 stipend for five months)."
Education reporter,Gannett,$17/hour,cis female white ,4,"Iowa City, Iowa","Cover mostly local education issues. Sometimes cover statewide education news. For roughly 1-3 weeks per year, I take over the tasks of another employee, who organizes and creates content for four weekly county newspapers alone. ",local reporter for BH Media in Texas (<$30K/year)
Reporter,Gannett,"$28,600 ",cis white woman,2.5,Iowa  ,"Reports and writes on courts, crime, public safety, breaking news ","freelance video producer, news reporter, graduate student"
Reporter,Gannett,"43,000",Cis female / Asian,4,South,Investigative reporting,"Started at another Gannett paper as a beat reporter, earning $33,800 a year."
General Assignment Reporter,Gannett,"$33,000 ",cis white woman,1,Indiana,"plan, report and write general news for daily paper (2-3 stories daily) in midsize Midwest college town","Previously: 1 unpaid internship, one paid through state journalism association ($12 an hour), experience in college newsroom"
State beat reporter,Gannett,"$65,000 ",White female (cis/het),9,Arizona,"Cover governor, state agencies, legislative issues and the state Supreme Court. Specifically, report/research; develop sources and story ideas; write breaking, daily, mid-term and enterprise stories; get scoops; lead state budget coverage; serve as backup legislative reporter; work elections and provide politics coverage during election lead-up; do regular radio/TV/podcast appearances; maintain advance obituaries for political figures; request and review public records; monitor social media of relevant persons; maintain consistent social media presence; among other responsibilities.","City beat reporter $34k (hourly...raises ranged from 2-6%)
Topical beat reporter $40k (hourly)
Topical beat reporter + part-time breaking news editor $45k
State beat reporter $58k (2 raises)"
Reporter,Gannett,"$65,000 ",White female (cis/het),9,Arizona,"Cover governor, state agencies, legislative issues and the state Supreme Court. Specifically, report/research; develop sources and story ideas; write breaking, daily, mid-term and enterprise stories; get scoops; lead state budget coverage; serve as backup legislative reporter; work elections and provide politics coverage during election lead-up; do regular radio/TV/podcast appearances; maintain advance obituaries for political figures; request and review public records; monitor social media of relevant persons; maintain consistent social media presence; among other responsibilities.","City beat reporter $34k (hourly...raises ranged from 2-6%)
Topical beat reporter $40k (hourly)
Topical beat reporter + part-time breaking news editor $45k
State beat reporter $58k (2 raises)"
Reporter,Gannett,"$44,000 ",Cis Female/White ,4.5,Large metro ,"Mix of longer-term investigative, daily beat reporting ",
Reporter 2 (1-3 classification) in 2018,Gannett,"$48,800 ",White male,12,"Reno, Nev. ","Reporting, photography, videography","Started at $48,000 in 2015. Previously worked as Digital Content Director  for smaller company at same salary. Before that was managing Publishing system for $40,000. Previously a centralized news designer for $15/hour. "
Reporter ,Gannett,"$36,000 ",White male,3,"Reno, Nevada","Breaking news and enterprise reporting. Plus photo, video and drone flying. ",
Reporter,Gannett,"$36,300 ",Hispanic,6,Reno,"I cover breaking news, crime and courts. I also occasionally take my own photos and produce my own videos. I recently obtained my license to fly drones. ",None 
Reporter,Gannett,"44,000",white female,10,Reno,"Reporter; storytelling coach, producer; podcast producer","Started at less than $26K at first newspaper, worked as a city govt. reporter, education reporter, cops and courts reporter, arts and culture reporter"
Features Reporter,Gannett,"35,000",cis white female,5,NJ,,Laid off
Photographer,Gannett,"46,000",hispanic,10,California,photography,
reporter,Gannett,"55,500",male hispanic,7,nyc,cover breaking news/ general assignment ,$55k at daily news paper; $35k at daily paper in Connecticut; $35k at daily paper in Texas
Data reporter,Gannett,43000,Other,9,Florida,"Finding stories in spreadsheets, making charts/maps, some tech support, automating as much work as possible, helping other reporters with data and software",Data reporter at Bankrate: $45K in 2012
reporter,Gannett,"$31,500 ",woman/white,3,midwest ,"breaking news, crime, courts, enterprise, general assignment, photography, videos ","government reporter - $24,000 // unpaid internships"
Business Reporter,Gannett,"$40,000 ",Cis white female,0,Florida,Mix of enterprise and daily beat reporting,"First full time job, still taking college classes, college newspaper and intern experience"
Video Editor,Gannett,"$80,000/yr",Hispanic non presenting,7,Atlanta,Edit/motion graphics,
Enterprise reporter,Gannett ,"$38,250 ",Cis white female,4,"Mid-sized, affordable midwestern city",,
Assignment Editor,Gannett/NorthJersey.com,"$65,000 ",White male,15,New York City Suburbs,Managed about 10 reporters covering enterprise beats at two Gannett papers in two states. Responsible for training new journalists and covering the breaking news team in the afternoons and managed large breaking news events. ,"Assignment Editor (Metro-style beats) $60,000; Staff writer (regional daily): $48,000; Staff writer (regional daily): $45,000, Staff writer (regional daily): $35,000; Staff writer: $26,000 (regional daily); Staff writer (community weekly): $400/wk."
General Assignment Reporter (Features) ,Gannett/USA Today,"35,000",White female,1,Kentucky,,
Staff Photographer,Gannett/USA Today,"$40,000 ",Cis white woman,5,Indiana,produce photos and video for the daily newspaper,"$29,500/Staff photographer/West Virginia newspaper "
Digital Producer I,Gannett/USA Today,"$16.25/hr or $33,800",cis white female,2,"Phoenix, Arizona","Update multiple website homepages, write SEO friendly headlines, look for opportunities to write stories based on search trends, post to multiple social media accounts, edit videos, put together visually compelling digital assets for enterprise projects, package/optimize stories for web and social, send push alerts, help sites with breaking news situations, etc. ",Interned for $10/hr through DJNF program
Digital Producer,Gannett/USA Today,"16.82/hr,   $34, 985 a year",Nonbinary/femme Arab,5,Phoenix,"Work on SEO for news stories for over 30 Gannett properties, post to news site social media accounts, edit stories, edit videos, write stories based on social media and high-search breakout trends/breaking news, send push and text alerts, update homepages, create and apply personalized social media strategies for different regions","various unpaid internships (Killscreen Magazine, Echo Magazine, Balitmore Gamer, etc.), 2 internships for the Arizona Republic (10/hr), internship for World@Work (15/hr), and over 2 years in current position"
editor,Gatehouse,"$38,500 ",cis white male,21,Midwest,,
Online Editor,GateHouse,"$29,500 ",White male,8,Midwest,"Posting stories online/on social media, reporting, photography, copy editing for multiple papers",Copy editor
Reporter,Gatehouse,"$37,000 ",cis white female,3,Florida,"Beat reporting, general assignment, enterprise stories, projects, social media, reporting, writing, photography. ","$30,000 - News assistant
$35,000 - Beat reporter"
Reporter,Gatehouse,"$41,000 ",cis/het white female,3,Florida,beat reporting,"beat reporter for weekly paper in Florida, $33,000"
Copy Editor,GateHouse Media,"$45,000 ","Cis-gender, hetero, white",1,Midwest,"editing stories for print, planning sections, proofreading pages, occasional web producer work",first full-time job out of college
Sports/Education reporter,Gatehouse media,~$27000 after taxes,white male,5,North Carolina,Mixture of beat reporting and sports coverage/features. ,
Reporter,GateHouse Media,"$45,000 ",white female,5,Middle of the country (don't want to be too specific and out myself),"Cover the state Capitol, governor's office and most state agencies","Started as an entry level reporter at a daily BH Media newspaper on the East Coast making $32,500. I left that job making $35,000 after nearly four years and a promotion to covering the state Capitol. Then I had a yearlong stint making $40,000 at another journalism job. "
Digital team,Gatehouse Media,"41,000",Cis White woman,4,,,
Reporter,Gatehouse Media,45000,Cis female / white,10,Pennsylvania,Beat reporting,First reporting job made <$25K
Editor,GateHouse Media,"$57,000 ","Cis female, white",10,Midwest,#NAME?,"Started position three years ago at $55,000"
Reporter,Gatehouse Media,"26,000","Presenting cis, straight white male",1,Florida,Daily news reporting and features writing across two major beats. Editing press releases for publication.,None
"Environment, data reporter",GateHouse Media,"$37,500 ","Bisexual, Non-Binary, White",2,Florida,"Beat reporting on data stories, environmental stories, updating social media","$13.50 an hour, $14 an hour, Data reporter, web producer"
Reporter,GateHouse Media,"34,400","Female, white ",5,North Carolina,"Reporting, editing, managing freelancers, photography, videography, social media management ","33,500 (one $900 raise in 5 years) "
Copy editor,GateHouse Media,"$50,000 ",Cis white female,20,Massachusetts ,Varied,"$46,000 at hire"
Reporter,Gatehouse Media,"$39,000 ",Female / White,3,Oregon,"Write about K-12 and higher education in the county, along with any additional holes to be filled, social media use, weekly Facebook Lives, breaking news when needed","$29,000 as a ""Breaking News, Cities and Schools Reporter"""
Reporter,GateHouse Media ,"$24,000 per year after taxes",Cis white hetero woman,2.5,Texas,My beat and others ,"Made almost as much working in service industry, have graduate degree"
Crime reporter,Gatehouse Media ,"$30,680 (before taxes)",Bi Cis Latino male,1.5,"Augusta, Georgia","Cover crime for four counties, other general assignment stories ",First job out of college 
"Reporter, multi-media journalist",Gatehouse Media - Wicked Local,"$30,000 ",cis female,6,Greater Boston,"Report and write stories, work on graphics, take photos, and do multi-media videos and keep a strong social media presence daily working for a paper in a suburb of Boston. ","$48,000, editor, elsewhere"
News Reporter/Staff Writer,Gatehouse Media-Ashland Times Gazette,"$30,000 ",Female/White,1,"Ashland, Ohio","Write 1-3 articles each day, take some photos",Unpaid internships (2)
Photojournalist,GateHouse New Media,"$50,000 ",Cis-hetero white female,17,Ohio,"Photojournalist, assignment editor, desk editor",
Deputy director for multimedia,Gatehouse/Gannett ,"$47,000 ",white woman,10,New England,"managing team of journalists, producing content for digital and print product","editor/reporter: $35,000"
Desk Editor,Gear Patrol,"80,000",white cis male,8,NYC,"Manage 1 writer, write/edit/oversee 24 posts per week + edit/manage 1/3rd of quarterly magazine","Deputy Editor at 80k, news editor at 60k, then 70k"
Staff Writer,Gear Patrol,"$65,000 ",white cis male,3,New York City,"Ideate, pitch, write 5-8 stories per week for online; ideate, pitch, write for quarterly print magazine; manage and edit small stable of freelancers; act as on-camera personality;","Staff Writer $60,000; Associate Staff Writer $51,000; Editorial Apprentice $21,000"
Staff Writer,Genius,"60,000",Male / Asian-American,4.5,"Brooklyn, NY",,
Senior Producer,Gimlet,"123,000",cis white female,12,NYC,"lead teams, produce stories, develop projects, interact with clients","95K (starting salary at Gimlet), 103K (exit salary at NPR), 83K (starting salary at NPR)"
Producer,Gimlet / Spotify,"$85,000 ",White,4,"Brooklyn, NY",,
Editor,GOOD / Upworthy,"$65,000 ",Female,6,Los Angeles,"Edit and write for three digital websites, manage a team of freelancers, oversee all branded editorial content and branded social content, produce e-commerce articles ","Associate Digital Editor at Fox News: $63,000"
Content curator ,Google via vaco,"$48,000 ",cis White female,2,Texas,Write national news salaries/headlines and other news content,
Reporter,Gothamist/WNYC,"$78,000 ",cis het white male,3,NYC,daily reporting/blogging,
Web Services Project Officer,Government ,107000,Male,10,"NSW, Australia",Technically be a team leader; work with vendor to deliver product for the gov; be a system admin for many products,98000/Web Developer/Male
Editor,Government Executive Media Group,"78,000",Cis white male,16,D.C.,,
Commerce Writer,GQ,"$62,000 ",,3 years FT,NYC,Just writing now,
Digital Producer,Graham Media ,"57,500",Indian female,5,Houston,"Reporting for digital stories, social media ","Digital Producer / 50,000"
Staff Writer,Granite Media,"55,000",Female,15,Remote,writing one story per day,
Producer,Gray Television,"$31,500 ",Cis white female,10,Tennessee,"Stacking 6, 10, 11 p.m. shows, including writing, creating full screen graphics, finding quotes, video and packages to run. Also made calls and wrote breaking stories for web, managed website, sent push alerts, updated and monitored social media, and coordinated night crew.","Digital producer/copy editor at a Tennessee newspaper, $42,000+night diff/bonuses. Designer/copy editor at Gannett Design Studio, $37,500. Designer/copy editor at Florida newspaper, $28,000."
Digital Content Specialist ,Gray Television ,"$22,600 yr",cis white male,8,,,
Creative Services/Promotions Producer,Gray Television (specific station withheld),"$32,000 USD",Male/Caucasian,13,Virginia,"Write, shoot, edit, post-production, etc. commercials for local businesses. Also work on various promotional initiatives for the station to inform viewers of newscasts, events, contests, and products we offer. De facto manager on several occasions when my manager was on maternity leave, which also included billing, department strategy, and assigning tasks to other employees.",
Producer,Gray TV,"$26,000 ",CIS,4,,Writer/producer for 6 p.m. show,
Senior Editor,Great Bowery,"$80,000 ","Cis, bi, white female",4.5,NYC,"Write, edit, manage interns, brainstorm & execute video series, branded content","Editor, $65,000, Asst. Editor, $45,000"
Social/Audience,Group Nine,"$72,000 ",cishet white male,6,,,"Salon: $35,000 for all entry-level. "
Producer,Group Nine Media,72100,cis asian male,4,NYC,Video Editing,AP 55000
Senior Producer,Group Nine Media,"83,000",cis white man,8,New York,,
Producer,Group Nine Media,"75,000",Cis Black Male,7,New York,"Write, pre-produce, direct, shoot, edit",
Supervising Producer,Group Nine Media,"$77,000 ",Cis-het Black woman,8,New York,"Editorial lead of a social platform 
Manage 6 accounts
Used to manage multiple platforms when I first started (FB + TW + IG and multiple accounts at its height)
Wrote + delivered insight reports 
Schedule, publish, copyedit, assign edits for videos + stills
Covered protests + live events + breaking news
Wrote op-eds + produced pieces
Edited scripts once a week
Produce shoots in studio + field
Interviews + research
Showrunner of a social show with editorial sponsor ","$24K 2012-2014 doing digital work at nonprofit/freelancing/interning 
$40K as headline writer for traditional newsroom
$55K starting as social media manager for startup media
$63-67K after getting a job offer elsewhere
$75-77K promoted to Producer/editorial lead for startup media"
Video Editor,Group Nine Media,"75,000",Straight white male,6,NYC,"video producing, editing, camera, scripting","69,000 1 year ago"
Publisher,Group Nine Media,"$62,500 ",CIS Man / Mixed Race Black,3,"New York, NY","publishing, copy writing, scheduling, deadline setting, partnership management",$55 assoc. producer
Staff Writer,Group Nine Media / Thrillist,"$58,000 ",cis female / white ,1,New York ,Writing / pitching ,Hearst Digital Fellow ($15 an hour) 
News Reporter,"Guam Pacific Daily News, USA TODAY Network","35,360.00",Woman/South Asian,2,Guam,"Report on military, business, tourism, breaking news and whatever else comes up.",
Assistant Edior,Hachette Book Group,"$40,000 ",mixed-race cis woman,6,NYC,assist two executives with their editorial tasks,
Associate Editor,Hachette Book Group,"$46,000 ",Cis-het white male,5,New York City,Acquire and edit nonfiction books. Provide editorial and administrative support to publisher and senior editor. 25-30 titles published per year. ,
Writer,Happy Mutants LLC,$30/post,cis het white male,7,Not NY or LA or SF or DC,,
Assistant Editor,HarperCollins,"39,000",cis white woman,3,New York,,"Editorial Assistant (33,500)"
Assistant Managing Editor,HarperCollins Publishers,"$53,300 ",Cis white female,5,NYC,"Interdepartmental liaison, oversee schedules and deadlines, manage metadata, proofread files, supervise freelancers, etc.","Assistant Managing Editor $47,000 + overtime / PRH
Managing Editorial Assistant $35,000 + overtime / PRH (starting salary was adjusted to $38k(?) a year or so after I was hired and so my salary was adjusted to reflect that change before my promotion to Assist. ME)"
Marketing Director,HarperCollins Publishers,"$107,000 ",Cisgender Female,13.5,New York City,"Pre-order campaigns, digital and social media strategies, influencer outreach, book club coordination, coordinate sweeps and cross-promotions",
